Date,Close
1/2/2019 16:00:00,859.8
1/3/2019 16:00:00,851.45
1/4/2019 16:00:00,864.44
1/7/2019 16:00:00,868.55
1/8/2019 16:00:00,874.42
1/9/2019 16:00:00,885.91
1/10/2019 16:00:00,891.72
1/11/2019 16:00:00,893.39
1/14/2019 16:00:00,895.14
1/15/2019 16:00:00,900.21
1/16/2019 16:00:00,903.91
1/17/2019 16:00:00,911.39
1/18/2019 16:00:00,917.93
1/21/2019 16:00:00,921.65
1/22/2019 16:00:00,914.16
1/23/2019 16:00:00,912.36
1/24/2019 16:00:00,916.29
1/25/2019 16:00:00,919.8
1/28/2019 16:00:00,920.27
1/29/2019 16:00:00,926.77
1/30/2019 16:00:00,926.77
1/31/2019 16:00:00,929.25
2/1/2019 16:00:00,926.22
2/4/2019 16:00:00,932.02
2/5/2019 16:00:00,937.82
2/6/2019 16:00:00,938.07
2/7/2019 16:00:00,937.61
2/8/2019 16:00:00,932.98
2/11/2019 16:00:00,929.15
2/12/2019 16:00:00,933.15
2/13/2019 16:00:00,931.61
2/14/2019 16:00:00,936.04
2/15/2019 16:00:00,944.88
2/19/2019 16:00:00,950.34
2/20/2019 16:00:00,957.06
2/21/2019 16:00:00,955.18
2/22/2019 16:00:00,954.93
2/25/2019 16:00:00,957.49
2/26/2019 16:00:00,957.44
2/27/2019 16:00:00,959.33
2/28/2019 16:00:00,953.91
3/1/2019 16:00:00,958.23
3/4/2019 16:00:00,956.3
3/5/2019 16:00:00,959.09
3/6/2019 16:00:00,960.51
3/7/2019 16:00:00,958.69
3/8/2019 16:00:00,954.25
3/11/2019 16:00:00,960.45
3/12/2019 16:00:00,962.13
3/13/2019 16:00:00,962.71
3/14/2019 16:00:00,959.68
3/15/2019 16:00:00,963.37
3/18/2019 16:00:00,970.27
3/19/2019 16:00:00,965.74
3/20/2019 16:00:00,963.27
3/21/2019 16:00:00,967.26
3/22/2019 16:00:00,958.21
3/25/2019 16:00:00,956.26
3/26/2019 16:00:00,961.89
3/27/2019 16:00:00,960.9
3/28/2019 16:00:00,963.84
3/29/2019 16:00:00,959.5
4/1/2019 16:00:00,967.69
4/2/2019 16:00:00,970.43
4/3/2019 16:00:00,971.66
4/4/2019 16:00:00,973.45
4/5/2019 16:00:00,978.21
4/8/2019 16:00:00,978.82
4/9/2019 16:00:00,974.43
4/10/2019 16:00:00,977.48
4/11/2019 16:00:00,979.13
4/12/2019 16:00:00,984.66
4/15/2019 16:00:00,987.92
4/16/2019 16:00:00,988.51
4/17/2019 16:00:00,990.61
4/18/2019 16:00:00,995.29
4/22/2019 16:00:00,993.16
4/23/2019 16:00:00,999.97
4/24/2019 16:00:00,993.71
4/25/2019 16:00:00,993.71
4/26/2019 16:00:00,995.88
4/29/2019 16:00:00,995.73
4/30/2019 16:00:00,994.53
5/1/2019 16:00:00,990.49
5/2/2019 16:00:00,986.02
5/3/2019 16:00:00,991.58
5/6/2019 16:00:00,991.44
5/7/2019 16:00:00,983.3
5/8/2019 16:00:00,985.67
5/9/2019 16:00:00,979.94
5/10/2019 16:00:00,978.05
5/13/2019 16:00:00,969.92
5/14/2019 16:00:00,974.85
5/15/2019 16:00:00,977.28
5/16/2019 16:00:00,985.52
5/17/2019 16:00:00,982.76
5/21/2019 16:00:00,984.35
5/22/2019 16:00:00,978.7
5/23/2019 16:00:00,969.43
5/24/2019 16:00:00,973.6
5/27/2019 16:00:00,980.6
5/28/2019 16:00:00,978.08
5/29/2019 16:00:00,968.29
5/30/2019 16:00:00,965.62
5/31/2019 16:00:00,961.89
6/3/2019 16:00:00,959.59
6/4/2019 16:00:00,968.48
6/5/2019 16:00:00,972.5
6/6/2019 16:00:00,973.09
6/7/2019 16:00:00,973.47
6/10/2019 16:00:00,972.46
6/11/2019 16:00:00,974.13
6/12/2019 16:00:00,972.9
6/13/2019 16:00:00,972.55
6/14/2019 16:00:00,976.82
6/17/2019 16:00:00,979.17
6/18/2019 16:00:00,988.16
6/19/2019 16:00:00,988.79
6/20/2019 16:00:00,992.05
6/21/2019 16:00:00,988.75
6/24/2019 16:00:00,988.24
6/25/2019 16:00:00,978.66
6/26/2019 16:00:00,974.89
6/27/2019 16:00:00,975.06
6/28/2019 16:00:00,979.6
7/2/2019 16:00:00,985.45
7/3/2019 16:00:00,992.46
7/4/2019 16:00:00,992.84
7/5/2019 16:00:00,989.73
7/8/2019 16:00:00,985.05
7/9/2019 16:00:00,991.27
7/10/2019 16:00:00,990.76
7/11/2019 16:00:00,989.48
7/12/2019 16:00:00,986.02
7/15/2019 16:00:00,986.66
7/16/2019 16:00:00,986.62
7/17/2019 16:00:00,984.45
7/18/2019 16:00:00,985.07
7/19/2019 16:00:00,984.15
7/22/2019 16:00:00,986.83
7/23/2019 16:00:00,990.28
7/24/2019 16:00:00,992.12
7/25/2019 16:00:00,984.85
7/26/2019 16:00:00,987.67
7/29/2019 16:00:00,984.88
7/30/2019 16:00:00,982.35
7/31/2019 16:00:00,979.73
8/1/2019 16:00:00,976.79
8/2/2019 16:00:00,969.49
8/6/2019 16:00:00,961.31
8/7/2019 16:00:00,969.46
8/8/2019 16:00:00,977.76
8/9/2019 16:00:00,974.34
8/12/2019 16:00:00,968.61
8/13/2019 16:00:00,976.59
8/14/2019 16:00:00,957.56
8/15/2019 16:00:00,955.84
8/16/2019 16:00:00,965.02
8/19/2019 16:00:00,974.3
8/20/2019 16:00:00,967.18
8/21/2019 16:00:00,973.95
8/22/2019 16:00:00,971.09
8/23/2019 16:00:00,956.68
8/26/2019 16:00:00,961.86
8/27/2019 16:00:00,966.07
8/28/2019 16:00:00,970.82
8/29/2019 16:00:00,979.2
8/30/2019 16:00:00,982.45
9/3/2019 16:00:00,979.11
9/4/2019 16:00:00,981.23
9/5/2019 16:00:00,990.35
9/6/2019 16:00:00,987.99
9/9/2019 16:00:00,985.16
9/10/2019 16:00:00,988.09
9/11/2019 16:00:00,992.96
9/12/2019 16:00:00,996.14
9/13/2019 16:00:00,998.54
9/16/2019 16:00:00,1001.88
9/17/2019 16:00:00,1006.85
9/18/2019 16:00:00,1005.77
